artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
Rocco Granata,Marina,334,1,1,1959,1960,22
Will Brandes,Marina,334,2,1,1959,1960,22
Jan & Kjeld,Banjo Boy,329,3,1,1960,1960,30
Heidi Brühl,Wir wollen niemals auseinandergeh'n,329,4,1,1960,1960,27
Freddy (Freddy Quinn),Unter fremden Sternen (fährt ein weißes Schiff nach Hongkong),238,5,2,1959,1960,22
Edith Piaf,Milord,232,6,1,1960,1960,21
Dalida,Milord,232,7,1,1960,1960,21
Lolita,Seemann... (Deine Heimat ist das Meer),206,8,2,1960,1960,22
Dutch Swing College Band,Milord,180,9,1,1960,1960,13
Ted Herold,Moonlight,161,10,1,1960,1960,22
Elvis Presley,O Sole Mio (It's Now Or Never),160,11,2,1960,1960,13
Guy Mitchell,Heartaches By The Number,159,12,2,1960,1960,17
Peter Alexander,Ich zähle täglich meine Sorgen,159,13,2,1960,1960,17
Vico Torriani,Kalkutta liegt am Ganges,151,14,2,1960,1960,17
Caterina Valente,Ein Schiff wird kommen (Hafen von Piräus),144,15,1,1960,1960,8
Melina Mercouri,Ein Schiff wird kommen,144,16,1,1960,1960,8
Lale Andersen,Ein Schiff wird kommen,144,17,1,1960,1960,8
Billy Vaughn and his Orchestra,Morgen,139,18,2,1959,1960,13
Ivo Robic,Morgen,139,19,2,1959,1960,13
Leo Leandros,Mustafa,133,20,2,1960,1960,13
Jolly Sisters,Everybody's Somebody's Fool,131,21,3,1960,1960,13
Connie Francis,Die Liebe ist ein seltsames Spiel,131,22,3,1960,1960,13
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,130,23,1,1960,1960,13
Club Honolulu (Caterina Valente & Silvio Francesco),Itsy Bitsy Teenie Weenie Honolulu-Strand-Bikini,130,24,1,1960,1960,13
Johnny & The Hurricanes,Red River Rock,124,25,3,1959,1960,22
Gerd Böttcher,Ich komme wieder,120,26,2,1960,1960,8
Freddy (Freddy Quinn),Melodie der Nacht,116,27,4,1960,1960,17
Marianne Vasel & Marianne Opitz & Erich Storz,Hohe Tannen,113,28,6,1960,1960,26
Das Hellberg-Duo,Hohe Tannen (Das Rübezahllied),113,29,6,1960,1960,26
Rene Carol,Kein Land kann schöner sein,108,30,3,1960,1960,14
Jimmy Makulis,Gitarren klingen leise durch die Nacht,102,31,4,1959,1960,17
Jack Terry,Marina,100,32,2,1960,1960,9
Die Honey Twins,Banjo Boy,90,33,1,1960,1960,5
Hazy Osterwald-Sextett,Kriminal-Tango,72,34,4,1959,1960,9
Ralf Bendix,Kriminal-Tango,72,35,4,1959,1960,9
